DataEye 新品日报 (2026-05-20)
本次共发现 60 个新品，按平台整理如下：

抖音小游戏 (新增 24 个)
- 爆了爆了: https://adxray.dataeye.com/index/home#/Product/Detail/1367904
- 背包小队长: https://adxray.dataeye.com/index/home#/Product/Detail/1367805
- 超能战车: https://adxray.dataeye.com/index/home#/Product/Detail/1367729
- 穿越：从零开始当魔王: https://adxray.dataeye.com/index/home#/Product/Detail/1367919
- 愤怒的邻居: https://adxray.dataeye.com/index/home#/Product/Detail/1367746
- 合合帝国: https://adxray.dataeye.com/index/home#/Product/Detail/1367801
- 画线萌宠: https://adxray.dataeye.com/index/home#/Product/Detail/1367810
- 基地对抗战: https://adxray.dataeye.com/index/home#/Product/Detail/1367736
- 解压嗨翻天: https://adxray.dataeye.com/index/home#/Product/Detail/1367724
- 解压脑力乐园: https://adxray.dataeye.com/index/home#/Product/Detail/1367802
- 就我玩得溜: https://adxray.dataeye.com/index/home#/Product/Detail/1367731
- 口袋建造: https://adxray.dataeye.com/index/home#/Product/Detail/1367733
- 魔法扭扭闯关游戏软件: https://adxray.dataeye.com/index/home#/Product/Detail/1367734
- 全员爱闯关: https://adxray.dataeye.com/index/home#/Product/Detail/1367897
- 神秘国度: https://adxray.dataeye.com/index/home#/Product/Detail/1367848
- 天天拼词王: https://adxray.dataeye.com/index/home#/Product/Detail/1367851
- 我脑洞挺大: https://adxray.dataeye.com/index/home#/Product/Detail/1367744
- 仙语星辰: https://adxray.dataeye.com/index/home#/Product/Detail/1367716
- 消个泡泡: https://adxray.dataeye.com/index/home#/Product/Detail/1367912
- 夜市冠军: https://adxray.dataeye.com/index/home#/Product/Detail/1367702
- 一路向前跑: https://adxray.dataeye.com/index/home#/Product/Detail/1367715
- 一起来玩呀: https://adxray.dataeye.com/index/home#/Product/Detail/1367739
- 硬核挑战营: https://adxray.dataeye.com/index/home#/Product/Detail/1367825
- 勇者必胜: https://adxray.dataeye.com/index/home#/Product/Detail/1367735

微信小游戏 (新增 21 个)
- 点球射门: https://adxray.dataeye.com/index/home#/Product/Detail/1367698
- 福气农场: https://adxray.dataeye.com/index/home#/Product/Detail/1367923
- 果宝消一消: https://adxray.dataeye.com/index/home#/Product/Detail/1367771
- 就差这一步: https://adxray.dataeye.com/index/home#/Product/Detail/1367760
- 美食连锁店: https://adxray.dataeye.com/index/home#/Product/Detail/1367895
- 脑洞亿点大: https://adxray.dataeye.com/index/home#/Product/Detail/1367756
- 爬塔之王: https://adxray.dataeye.com/index/home#/Product/Detail/1367896
- 佩皮小镇乐园: https://adxray.dataeye.com/index/home#/Product/Detail/1367740
- 破坏一切游戏: https://adxray.dataeye.com/index/home#/Product/Detail/1367910
- 汽车闯关驾驶停车: https://adxray.dataeye.com/index/home#/Product/Detail/1367832
- 手搓颜料大变装: https://adxray.dataeye.com/index/home#/Product/Detail/1367881
- 水果消消乐经典版小游戏: https://adxray.dataeye.com/index/home#/Product/Detail/1367796
- 贪吃蛇无限进化吃: https://adxray.dataeye.com/index/home#/Product/Detail/1367874
- 天空球球极限跑酷游戏: https://adxray.dataeye.com/index/home#/Product/Detail/1367828
- 我的刀盾跑酷游戏: https://adxray.dataeye.com/index/home#/Product/Detail/1367888
- 消消水果车: https://adxray.dataeye.com/index/home#/Product/Detail/1367884
- 樱花校园正版: https://adxray.dataeye.com/index/home#/Product/Detail/1367839
- 约战皇城: https://adxray.dataeye.com/index/home#/Product/Detail/1367879
- 炸弹模拟器: https://adxray.dataeye.com/index/home#/Product/Detail/1367890
- 这箭挪得6: https://adxray.dataeye.com/index/home#/Product/Detail/1367755
- 征战黎明: https://adxray.dataeye.com/index/home#/Product/Detail/1367905

iOS (新增 15 个)
- 爱琳诗篇：怀旧折扣版: https://adxray.dataeye.com/index/home#/Product/Detail/1367726
- 爆爆来财: https://adxray.dataeye.com/index/home#/Product/Detail/1367913
- 代号女友: https://adxray.dataeye.com/index/home#/Product/Detail/1367708
- 地牢猎手6: https://adxray.dataeye.com/index/home#/Product/Detail/1367906
- 海岛首富: https://adxray.dataeye.com/index/home#/Product/Detail/1367791
- 好运天成: https://adxray.dataeye.com/index/home#/Product/Detail/1367804
- 今天谁先上: https://adxray.dataeye.com/index/home#/Product/Detail/1367738
- 脑力日常练: https://adxray.dataeye.com/index/home#/Product/Detail/1367737
- 枪战乱斗先锋: https://adxray.dataeye.com/index/home#/Product/Detail/1367900
- 神都西游: https://adxray.dataeye.com/index/home#/Product/Detail/1367917
- 天天飞机达人: https://adxray.dataeye.com/index/home#/Product/Detail/1367872
- 停车指南: https://adxray.dataeye.com/index/home#/Product/Detail/1367803
- 我是伪装王: https://adxray.dataeye.com/index/home#/Product/Detail/1367719
- 一顺百顺: https://adxray.dataeye.com/index/home#/Product/Detail/1367783
- 最后一箭: https://adxray.dataeye.com/index/home#/Product/Detail/1367899
