match_type,match_value,canonical_company,confidence,source,note
domain,homagames.com,Homa,high,seed,Privacy policy or official Homa domain
dataeye_company_name,URAGA JSC,Homa,high,seed,Seen in 2026-06-01 overseas casual daily
developer_name,URAGA JSC,Homa,high,seed,Google Play developer mapped to Homa
dataeye_company_name,Spapes Games,Homa,medium,seed,Seen in 2026-06-02 overseas casual daily
developer_name,Spapes Games,Homa,medium,seed,Needs periodic review
dataeye_company_name,Dongu,Homa,medium,seed,Seen in 2026-06-02 overseas casual daily
developer_name,Dongu,Homa,medium,seed,Needs periodic review
dataeye_company_name,EXPLAY,Homa,medium,seed,Seen in 2026-06-02 overseas casual daily
developer_name,EXPLAY,Homa,medium,seed,Needs periodic review
fb_page,Contract Red,Homa,medium,seed,Observed from Art Layers creative
fb_page,Choc Bread,Homa,medium,seed,Observed from Color Brawl creative
dataeye_company_name,Super Battle Games,Voodoo,high,seed,Seen in 2026-06-02 overseas casual daily
developer_name,Super Battle Games,Voodoo,high,seed,Google Play developer mapped to Voodoo
dataeye_company_name,FYR Game,Voodoo,medium,seed,Seen in 2026-06-02 overseas casual daily
developer_name,FYR Game,Voodoo,medium,seed,Needs periodic review
dataeye_company_name,SpiderForce,Voodoo,medium,seed,Seen in 2026-06-02 overseas casual daily
dataeye_company_name,Mintah Games,Voodoo,medium,seed,Seen in 2026-06-02 overseas casual daily
dataeye_company_name,Red Two Apps (RTA Ltd),Voodoo,medium,seed,Seen in 2026-06-02 overseas casual daily
dataeye_company_name,Hiker Games,Voodoo,medium,seed,Seen in 2026-06-02 overseas casual daily
dataeye_company_name,HE games,Voodoo,medium,seed,Seen in 2026-06-02 overseas casual daily
fb_page,Casual gaming challenges,Voodoo,medium,seed,Observed from Match Trip creative
dataeye_company_name,3A YAPIM VE YAZILIM DANISMANLIK LIMITED SIRKETI,Rollic,high,seed,Seen in 2026-06-01 overseas casual daily
developer_name,3A YAPIM VE YAZILIM DANISMANLIK LIMITED SIRKETI,Rollic,high,seed,App Store seller mapped to Rollic
domain,fibergames.com.tr,Rollic,high,seed,FiberGames seller URL in App Store
dataeye_company_name,Playgendary Limited,Azur,high,seed,Seen in source Excel under Azur
developer_name,Playgendary Limited,Azur,high,seed,Google Play developer mapped to Azur in this report
domain,newplg.dev,Azur,high,seed,Playgendary privacy/developer domain
domain,supersonic.com,Supersonic,high,seed,Supersonic privacy domain
dataeye_company_name,Akehiko studio,Supersonic,high,seed,Seen in 2026-06-01 overseas casual daily
developer_name,Akehiko studio,Supersonic,high,seed,Google Play developer mapped to Supersonic
google_developer_id,6446252978222976215,未知,high,manual_conflict_unknown,Conflict account in overseas casual daily template: Terek Gaming appears under Homa and Voodoo
apple_artist_id,1837838690,未知,high,manual_conflict_unknown,Conflict account in overseas casual daily template: Terek Gaming OU appears under Homa and Voodoo
seller_name,Terek Gaming OU,未知,high,manual_conflict_unknown,Conflict account in overseas casual daily template: Terek Gaming OU appears under Homa and Voodoo
developer_name,Terek Gaming,未知,medium,manual_conflict_unknown,Conflict account in overseas casual daily template: Terek Gaming appears under Homa and Voodoo
google_developer_id,9014292750854513915,未知,high,manual_conflict_unknown,Conflict account in overseas casual daily template: Lucky Kat appears under Homa and Voodoo
apple_artist_id,498980984,未知,high,manual_conflict_unknown,Conflict account in overseas casual daily template: Lucky Kat Studios appears under Homa and Voodoo
seller_name,Lucky Kat Studios,未知,high,manual_conflict_unknown,Conflict account in overseas casual daily template: Lucky Kat Studios appears under Homa and Voodoo
